Date,Open,High,Low,Close,Volume
12/29/2023,"37.38","37.76","37.32","37.70","16,222,670"
12/28/2023,"37.18","37.72","37.15","37.49","14,931,660"
12/27/2023,"37.33","37.46","37.20","37.31","15,267,630"
12/26/2023,"37.44","37.64","37.31","37.48","11,856,570"
12/22/2023,"37.42","37.79","37.40","37.49","13,171,600"
12/21/2023,"37.35","37.55","37.21","37.43","15,421,050"
12/20/2023,"37.50","37.73","37.28","37.30","18,134,650"
12/19/2023,"37.60","37.74","37.49","37.57","17,642,539"
12/18/2023,"37.72","37.80","37.27","37.67","22,057,189"
12/15/2023,"37.55","37.83","37.14","37.37","51,721,566"
12/14/2023,"37.25","37.98","37.18","37.87","28,551,570"
12/13/2023,"37.08","37.15","36.46","36.99","32,473,170"
12/12/2023,"37.57","37.64","37.17","37.30","17,096,699"
12/11/2023,"38.29","38.39","37.48","37.67","21,914,520"
12/08/2023,"38.66","38.68","38.01","38.25","21,850,381"
12/07/2023,"38.55","38.73","38.30","38.65","15,223,190"
12/06/2023,"38.25","38.88","38.08","38.50","20,218,551"
12/05/2023,"38.35","38.55","38.09","38.42","23,003,311"
12/04/2023,"38.40","38.57","38.03","38.04","22,109,240"
12/01/2023,"38.40","38.61","38.27","38.58","20,762,480"
11/30/2023,"37.83","38.44","37.82","38.33","36,623,539"
11/29/2023,"37.53","37.89","37.53","37.76","16,387,391"
11/28/2023,"37.35","37.51","37.20","37.47","14,521,680"
11/27/2023,"37.45","37.54","37.29","37.35","15,245,310"
11/24/2023,"37.45","37.57","37.30","37.41","6,766,657"
11/22/2023,"37.33","37.52","37.22","37.35","14,613,960"
11/21/2023,"36.86","37.45","36.85","37.25","22,946,420"
11/20/2023,"36.28","36.87","36.20","36.73","18,660,150"
11/17/2023,"36.38","36.38","36.08","36.23","19,361,160"
11/16/2023,"36.08","36.38","35.93","36.18","19,110,760"
11/15/2023,"35.88","36.11","35.84","36.00","22,855,520"
11/14/2023,"36.01","36.10","35.81","35.88","17,667,061"
11/13/2023,"35.64","36.18","35.41","35.82","17,236,730"
11/10/2023,"35.91","35.92","35.40","35.71","12,792,890"
11/09/2023,"35.87","36.05","35.46","35.62","15,685,810"
